date,station_id,station_name,inverter_id,inverter_sn,inverter_model,inverter_rated_kw,daily_production_kwh,full_hour,money,raw_energy_value,raw_energy_unit,raw_energy_scale
2025-11-11,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,70.8,2.83,21.24,70.8,kWh,1
2025-11-12,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,67.9,2.72,20.37,67.9,kWh,1
2025-11-13,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,54.8,2.19,16.44,54.8,kWh,1
2025-11-14,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,12.7,0.51,3.81,12.7,kWh,1
2025-11-15,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,105.3,4.21,31.59,105.3,kWh,1
2025-11-16,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,76.5,3.06,22.95,76.5,kWh,1
2025-11-17,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,23.8,0.95,7.14,23.8,kWh,1
2025-11-18,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,0.0,0.0,0.0,0.0,kWh,1
2025-11-19,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,119.2,4.77,35.76,119.2,kWh,1
2025-11-20,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,115.6,4.62,34.68,115.6,kWh,1
2025-11-21,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,36.6,1.46,10.98,36.6,kWh,1
2025-11-22,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,33.0,1.32,9.9,33.0,kWh,1
2025-11-23,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,53.3,2.13,15.99,53.3,kWh,1
2025-11-24,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,4.8,0.19,1.44,4.8,kWh,1
2025-11-25,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,33.9,1.36,10.17,33.9,kWh,1
2025-11-26,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,21.2,0.85,6.36,21.2,kWh,1
2025-11-27,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,17.8,0.71,5.34,17.8,kWh,1
2025-11-28,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,10.8,0.43,3.24,10.8,kWh,1
2025-11-29,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,16.4,0.66,4.92,16.4,kWh,1
2025-11-30,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,22.5,0.9,6.75,22.5,kWh,1
2025-12-01,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,32.9,1.32,9.87,32.9,kWh,1
2025-12-02,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,23.9,0.96,7.17,23.9,kWh,1
2025-12-03,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,80.8,3.23,24.24,80.8,kWh,1
2025-12-04,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,36.0,1.44,10.8,36.0,kWh,1
2025-12-05,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,6.4,0.26,1.92,6.4,kWh,1
2025-12-06,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,13.9,0.56,4.17,13.9,kWh,1
2025-12-07,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,12.2,0.49,3.66,12.2,kWh,1
2025-12-08,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,17.1,0.68,5.13,17.1,kWh,1
2025-12-09,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,55.4,2.22,16.62,55.4,kWh,1
2025-12-10,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,33.4,1.34,10.02,33.4,kWh,1
2025-12-11,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,21.8,0.87,6.54,21.8,kWh,1
2025-12-12,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,8.9,0.36,2.67,8.9,kWh,1
2025-12-13,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,12.8,0.51,3.84,12.8,kWh,1
2025-12-14,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,14.4,0.58,4.32,14.4,kWh,1
2025-12-15,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,20.8,0.83,6.24,20.8,kWh,1
2025-12-16,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,63.3,2.53,18.99,63.3,kWh,1
2025-12-17,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,5.2,0.21,1.56,5.2,kWh,1
2025-12-18,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,34.4,1.38,10.32,34.4,kWh,1
2025-12-19,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,62.9,2.52,18.87,62.9,kWh,1
2025-12-20,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,105.7,4.23,31.71,105.7,kWh,1
2025-12-21,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,72.5,2.9,21.75,72.5,kWh,1
