site_name,date,status,site_total_kwh,incident_id,focus_inverter_name,Symo  Advanced 24.0-3 480 (4) (2344E5)__rated_kw,Symo  Advanced 24.0-3 480 (4) (2344E5)__daily_energy_kwh,Symo  Advanced 24.0-3 480 (4) (2344E5)__specific_yield_kwh_per_kw,Symo  Advanced 24.0-3 480 (4) (2344E5)__relative_specific_yield_vs_site_avg,Symo 24.0-3 480 (1) (ECDEE1)__rated_kw,Symo 24.0-3 480 (1) (ECDEE1)__daily_energy_kwh,Symo 24.0-3 480 (1) (ECDEE1)__specific_yield_kwh_per_kw,Symo 24.0-3 480 (1) (ECDEE1)__relative_specific_yield_vs_site_avg,Symo Advanced 24.0-3 480 (2) (2344D2)__rated_kw,Symo Advanced 24.0-3 480 (2) (2344D2)__daily_energy_kwh,Symo Advanced 24.0-3 480 (2) (2344D2)__specific_yield_kwh_per_kw,Symo Advanced 24.0-3 480 (2) (2344D2)__relative_specific_yield_vs_site_avg,Symo Advanced 24.0-3 480 (3) (2344DB)__rated_kw,Symo Advanced 24.0-3 480 (3) (2344DB)__daily_energy_kwh,Symo Advanced 24.0-3 480 (3) (2344DB)__specific_yield_kwh_per_kw,Symo Advanced 24.0-3 480 (3) (2344DB)__relative_specific_yield_vs_site_avg,Symo Advanced 24.0-3 480 (5) (2344EE)__rated_kw,Symo Advanced 24.0-3 480 (5) (2344EE)__daily_energy_kwh,Symo Advanced 24.0-3 480 (5) (2344EE)__specific_yield_kwh_per_kw,Symo Advanced 24.0-3 480 (5) (2344EE)__relative_specific_yield_vs_site_avg,Symo Advanced 24.0-3 480 (6) (D2487C)__rated_kw,Symo Advanced 24.0-3 480 (6) (D2487C)__daily_energy_kwh,Symo Advanced 24.0-3 480 (6) (D2487C)__specific_yield_kwh_per_kw,Symo Advanced 24.0-3 480 (6) (D2487C)__relative_specific_yield_vs_site_avg,Symo Advanced 24.0-3 480 (7) (D3E7E7)__rated_kw,Symo Advanced 24.0-3 480 (7) (D3E7E7)__daily_energy_kwh,Symo Advanced 24.0-3 480 (7) (D3E7E7)__specific_yield_kwh_per_kw,Symo Advanced 24.0-3 480 (7) (D3E7E7)__relative_specific_yield_vs_site_avg
G and C farms south meter,2023-05-01,site_missing_data,1295.8,FRONIUS-e5d4623c-5a06-4b45-b2f0--G003,"ALL_INVERTERS, Symo  Advanced 24.0-3 480 (4) (2344E5), Symo Advanced 24.0-3 480 (2) (2344D2), Symo Advanced 24.0-3 480 (3) (2344DB), Symo Advanced 24.0-3 480 (5) (2344EE)",24.0,210.66,8.7775,1.138,24.0,218.66,9.110833,1.181216,24.0,215.4,8.975,1.163605,24.0,0.0,0.0,0.0,24.0,216.78,9.0325,1.17106,24.0,216.97,9.040417,1.172087,24.0,217.33,9.055417,1.174031
G and C farms south meter,2023-05-02,Normal,1462.4,,,24.0,185.72,7.738333,0.888977,24.0,220.31,9.179583,1.054547,24.0,216.62,9.025833,1.036885,24.0,219.77,9.157083,1.051963,24.0,197.76,8.24,0.946608,24.0,207.84,8.66,0.994858,24.0,214.38,8.9325,1.026162
G and C farms south meter,2023-05-03,Normal,1497.56,,,24.0,217.56,9.065,1.016934,24.0,219.79,9.157917,1.027358,24.0,215.17,8.965417,1.005763,24.0,219.17,9.132083,1.02446,24.0,200.43,8.35125,0.936864,24.0,217.75,9.072917,1.017822,24.0,207.69,8.65375,0.970799
G and C farms south meter,2023-05-04,Normal,1377.24,,,24.0,199.43,8.309583,1.013629,24.0,201.86,8.410833,1.025979,24.0,198.22,8.259167,1.007479,24.0,201.74,8.405833,1.02537,24.0,184.86,7.7025,0.939575,24.0,199.78,8.324167,1.015408,24.0,191.35,7.972917,0.972561
G and C farms south meter,2023-05-05,Normal,1500.59,,,24.0,217.78,9.074167,1.015907,24.0,219.75,9.15625,1.025097,24.0,215.67,8.98625,1.006064,24.0,219.27,9.13625,1.022858,24.0,201.61,8.400417,0.940477,24.0,218.08,9.086667,1.017307,24.0,208.43,8.684583,0.972291
G and C farms south meter,2023-05-06,Normal,788.53,,,24.0,120.39,5.01625,1.068735,24.0,123.54,5.1475,1.096699,24.0,109.26,4.5525,0.969931,24.0,122.32,5.096667,1.085869,24.0,94.6,3.941667,0.83979,24.0,121.09,5.045417,1.07495,24.0,97.33,4.055417,0.864025
G and C farms south meter,,Marker - 78 additional day(s) without incident,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G and C farms south meter,2023-07-24,Normal,1466.27,,,24.0,208.28,8.678333,0.994333,24.0,210.1,8.754167,1.003021,24.0,211.6,8.816667,1.010182,24.0,209.84,8.743333,1.00178,24.0,206.81,8.617083,0.987315,24.0,208.79,8.699583,0.996767,24.0,210.85,8.785417,1.006602
G and C farms south meter,2023-07-25,Normal,1514.7,,,24.0,215.51,8.979583,0.995953,24.0,216.9,9.0375,1.002377,24.0,218.14,9.089167,1.008107,24.0,216.26,9.010833,0.999419,24.0,213.78,8.9075,0.987958,24.0,216.25,9.010417,0.999373,24.0,217.86,9.0775,1.006813
G and C farms south meter,2023-07-26,Normal,1546.77,,,24.0,219.94,9.164167,0.995352,24.0,221.4,9.225,1.001959,24.0,223.28,9.303333,1.010467,24.0,220.91,9.204583,0.999741,24.0,218.22,9.0925,0.987568,24.0,220.43,9.184583,0.997569,24.0,222.59,9.274583,1.007344
G and C farms south meter,2023-07-27,Normal,1400.0,,,24.0,198.7,8.279167,0.9935,24.0,201.2,8.383333,1.006,24.0,201.94,8.414167,1.0097,24.0,201.04,8.376667,1.0052,24.0,196.79,8.199583,0.98395,24.0,199.45,8.310417,0.99725,24.0,200.88,8.37,1.0044
G and C farms south meter,2023-07-28,Normal,941.32,,,24.0,141.21,5.88375,1.050089,24.0,75.73,3.155417,0.563156,24.0,146.08,6.086667,1.086304,24.0,146.08,6.086667,1.086304,24.0,140.44,5.851667,1.044363,24.0,145.85,6.077083,1.084594,24.0,145.93,6.080417,1.085189
G and C farms south meter,2023-07-29,offline_or_near_zero,1252.11,FRONIUS-e5d4623c-5a06-4b45-b2f0--G004,Symo 24.0-3 480 (1) (ECDEE1),24.0,207.63,8.65125,1.160769,24.0,0.0,0.0,0.0,24.0,210.79,8.782917,1.178435,24.0,209.34,8.7225,1.170328,24.0,206.0,8.583333,1.151656,24.0,208.24,8.676667,1.164179,24.0,210.11,8.754583,1.174633
G and C farms south meter,2023-07-30,offline_or_near_zero,1234.5,FRONIUS-e5d4623c-5a06-4b45-b2f0--G004,Symo 24.0-3 480 (1) (ECDEE1),24.0,204.58,8.524167,1.160032,24.0,0.0,0.0,0.0,24.0,208.05,8.66875,1.179708,24.0,205.92,8.58,1.167631,24.0,203.44,8.476667,1.153568,24.0,204.95,8.539583,1.16213,24.0,207.56,8.648333,1.17693
G and C farms south meter,2023-07-31,offline_or_near_zero,1304.97,FRONIUS-e5d4623c-5a06-4b45-b2f0--G004,Symo 24.0-3 480 (1) (ECDEE1),24.0,214.85,8.952083,1.152479,24.0,0.0,0.0,0.0,24.0,219.45,9.14375,1.177153,24.0,215.64,8.985,1.156716,24.0,216.24,9.01,1.159935,24.0,218.29,9.095417,1.170931,24.0,220.5,9.1875,1.182786
G and C farms south meter,2023-08-01,offline_or_near_zero,1317.97,FRONIUS-e5d4623c-5a06-4b45-b2f0--G004,Symo 24.0-3 480 (1) (ECDEE1),24.0,218.69,9.112083,1.161506,24.0,0.0,0.0,0.0,24.0,221.93,9.247083,1.178714,24.0,219.73,9.155417,1.16703,24.0,217.16,9.048333,1.15338,24.0,219.09,9.12875,1.16363,24.0,221.37,9.22375,1.17574
G and C farms south meter,2023-08-02,offline_or_near_zero,1310.58,FRONIUS-e5d4623c-5a06-4b45-b2f0--G004,Symo 24.0-3 480 (1) (ECDEE1),24.0,217.34,9.055833,1.160845,24.0,0.0,0.0,0.0,24.0,220.76,9.198333,1.179112,24.0,218.74,9.114167,1.168322,24.0,215.89,8.995417,1.1531,24.0,217.71,9.07125,1.162821,24.0,220.14,9.1725,1.1758
G and C farms south meter,2023-08-03,offline_or_near_zero,1311.21,FRONIUS-e5d4623c-5a06-4b45-b2f0--G004,Symo 24.0-3 480 (1) (ECDEE1),24.0,217.38,9.0575,1.160501,24.0,0.0,0.0,0.0,24.0,220.75,9.197917,1.178492,24.0,219.05,9.127083,1.169416,24.0,216.07,9.002917,1.153507,24.0,217.91,9.079583,1.16333,24.0,220.05,9.16875,1.174755
G and C farms south meter,2023-08-04,offline_or_near_zero,1280.01,FRONIUS-e5d4623c-5a06-4b45-b2f0--G004,Symo 24.0-3 480 (1) (ECDEE1),24.0,212.12,8.838333,1.160022,24.0,0.0,0.0,0.0,24.0,215.34,8.9725,1.177631,24.0,213.81,8.90875,1.169264,24.0,210.91,8.787917,1.153405,24.0,212.8,8.866667,1.163741,24.0,215.03,8.959583,1.175936
G and C farms south meter,2023-08-05,offline_or_near_zero,1112.68,FRONIUS-e5d4623c-5a06-4b45-b2f0--G004,Symo 24.0-3 480 (1) (ECDEE1),24.0,184.68,7.695,1.161843,24.0,0.0,0.0,0.0,24.0,186.2,7.758333,1.171406,24.0,187.67,7.819583,1.180654,24.0,182.55,7.60625,1.148443,24.0,185.85,7.74375,1.169204,24.0,185.73,7.73875,1.168449
G and C farms south meter,2023-08-06,offline_or_near_zero,1291.78,FRONIUS-e5d4623c-5a06-4b45-b2f0--G004,Symo 24.0-3 480 (1) (ECDEE1),24.0,214.26,8.9275,1.161049,24.0,0.0,0.0,0.0,24.0,217.15,9.047917,1.17671,24.0,215.89,8.995417,1.169882,24.0,212.93,8.872083,1.153842,24.0,214.68,8.945,1.163325,24.0,216.87,9.03625,1.175192
G and C farms south meter,2023-08-07,offline_or_near_zero,1106.29,FRONIUS-e5d4623c-5a06-4b45-b2f0--G004,Symo 24.0-3 480 (1) (ECDEE1),24.0,183.57,7.64875,1.161531,24.0,0.0,0.0,0.0,24.0,185.65,7.735417,1.174692,24.0,185.23,7.717917,1.172034,24.0,182.12,7.588333,1.152356,24.0,184.17,7.67375,1.165327,24.0,185.55,7.73125,1.174059
G and C farms south meter,2023-08-08,offline_or_near_zero,1200.92,FRONIUS-e5d4623c-5a06-4b45-b2f0--G004,Symo 24.0-3 480 (1) (ECDEE1),24.0,199.13,8.297083,1.160702,24.0,0.0,0.0,0.0,24.0,202.16,8.423333,1.178363,24.0,200.72,8.363333,1.16997,24.0,198.11,8.254583,1.154756,24.0,199.67,8.319583,1.163849,24.0,201.13,8.380417,1.17236
G and C farms south meter,2023-08-09,offline_or_near_zero,985.44,FRONIUS-e5d4623c-5a06-4b45-b2f0--G004,Symo 24.0-3 480 (1) (ECDEE1),24.0,163.34,6.805833,1.160274,24.0,0.0,0.0,0.0,24.0,165.94,6.914167,1.178742,24.0,165.0,6.875,1.172065,24.0,162.23,6.759583,1.152389,24.0,163.77,6.82375,1.163328,24.0,165.16,6.881667,1.173202
G and C farms south meter,2023-08-10,offline_or_near_zero,1046.17,FRONIUS-e5d4623c-5a06-4b45-b2f0--G004,Symo 24.0-3 480 (1) (ECDEE1),24.0,173.44,7.226667,1.1605,24.0,0.0,0.0,0.0,24.0,175.97,7.332083,1.177428,24.0,175.48,7.311667,1.17415,24.0,172.14,7.1725,1.151801,24.0,174.07,7.252917,1.164715,24.0,175.07,7.294583,1.171406
G and C farms south meter,2023-08-11,offline_or_near_zero,1255.91,FRONIUS-e5d4623c-5a06-4b45-b2f0--G004,Symo 24.0-3 480 (1) (ECDEE1),24.0,208.12,8.671667,1.159988,24.0,0.0,0.0,0.0,24.0,211.3,8.804167,1.177712,24.0,209.57,8.732083,1.168069,24.0,207.13,8.630417,1.15447,24.0,208.94,8.705833,1.164558,24.0,210.85,8.785417,1.175204
G and C farms south meter,2023-08-12,offline_or_near_zero,721.66,FRONIUS-e5d4623c-5a06-4b45-b2f0--G004,Symo 24.0-3 480 (1) (ECDEE1),24.0,119.8,4.991667,1.162043,24.0,0.0,0.0,0.0,24.0,120.91,5.037917,1.17281,24.0,121.86,5.0775,1.182025,24.0,118.04,4.918333,1.144971,24.0,120.66,5.0275,1.170385,24.0,120.39,5.01625,1.167766
G and C farms south meter,2023-08-13,offline_or_near_zero,1277.93,FRONIUS-e5d4623c-5a06-4b45-b2f0--G004,Symo 24.0-3 480 (1) (ECDEE1),24.0,211.96,8.831667,1.161034,24.0,0.0,0.0,0.0,24.0,215.13,8.96375,1.178398,24.0,213.15,8.88125,1.167552,24.0,210.62,8.775833,1.153694,24.0,212.44,8.851667,1.163663,24.0,214.63,8.942917,1.175659
G and C farms south meter,2023-08-14,offline_or_near_zero,1271.25,FRONIUS-e5d4623c-5a06-4b45-b2f0--G004,Symo 24.0-3 480 (1) (ECDEE1),24.0,210.9,8.7875,1.161298,24.0,0.0,0.0,0.0,24.0,213.93,8.91375,1.177982,24.0,212.07,8.83625,1.16774,24.0,209.47,8.727917,1.153424,24.0,211.43,8.809583,1.164216,24.0,213.45,8.89375,1.175339
G and C farms south meter,2023-08-15,offline_or_near_zero,1270.71,FRONIUS-e5d4623c-5a06-4b45-b2f0--G004,Symo 24.0-3 480 (1) (ECDEE1),24.0,210.65,8.777083,1.160414,24.0,0.0,0.0,0.0,24.0,213.95,8.914583,1.178593,24.0,211.96,8.831667,1.167631,24.0,209.35,8.722917,1.153253,24.0,211.24,8.801667,1.163664,24.0,213.56,8.898333,1.176445
G and C farms south meter,2023-08-16,offline_or_near_zero,1245.8,FRONIUS-e5d4623c-5a06-4b45-b2f0--G004,Symo 24.0-3 480 (1) (ECDEE1),24.0,206.47,8.602917,1.16013,24.0,0.0,0.0,0.0,24.0,209.73,8.73875,1.178448,24.0,208.01,8.667083,1.168783,24.0,205.48,8.561667,1.154567,24.0,206.97,8.62375,1.162939,24.0,209.14,8.714167,1.175132
G and C farms south meter,2023-08-17,offline_or_near_zero,1155.13,FRONIUS-e5d4623c-5a06-4b45-b2f0--G004,Symo 24.0-3 480 (1) (ECDEE1),24.0,191.32,7.971667,1.159385,24.0,0.0,0.0,0.0,24.0,194.41,8.100417,1.17811,24.0,193.48,8.061667,1.172474,24.0,190.16,7.923333,1.152355,24.0,192.04,8.001667,1.163748,24.0,193.72,8.071667,1.173928
G and C farms south meter,2023-08-18,offline_or_near_zero,1000.63,FRONIUS-e5d4623c-5a06-4b45-b2f0--G004,Symo 24.0-3 480 (1) (ECDEE1),24.0,165.69,6.90375,1.1591,24.0,0.0,0.0,0.0,24.0,168.42,7.0175,1.178198,24.0,167.95,6.997917,1.17491,24.0,164.64,6.86,1.151754,24.0,166.34,6.930833,1.163647,24.0,167.59,6.982917,1.172391
G and C farms south meter,2023-08-19,offline_or_near_zero,1052.71,FRONIUS-e5d4623c-5a06-4b45-b2f0--G004,Symo 24.0-3 480 (1) (ECDEE1),24.0,174.51,7.27125,1.160405,24.0,0.0,0.0,0.0,24.0,176.87,7.369583,1.176098,24.0,176.31,7.34625,1.172374,24.0,173.51,7.229583,1.153756,24.0,175.11,7.29625,1.164395,24.0,176.4,7.35,1.172973
G and C farms south meter,2023-08-20,offline_or_near_zero,840.84,FRONIUS-e5d4623c-5a06-4b45-b2f0--G004,Symo 24.0-3 480 (1) (ECDEE1),24.0,139.29,5.80375,1.15959,24.0,0.0,0.0,0.0,24.0,141.39,5.89125,1.177073,24.0,141.48,5.895,1.177822,24.0,137.84,5.743333,1.147519,24.0,139.96,5.831667,1.165168,24.0,140.88,5.87,1.172827
G and C farms south meter,2023-08-21,offline_or_near_zero,547.17,FRONIUS-e5d4623c-5a06-4b45-b2f0--G004,Symo 24.0-3 480 (1) (ECDEE1),24.0,90.96,3.79,1.16366,24.0,0.0,0.0,0.0,24.0,91.41,3.80875,1.169417,24.0,92.89,3.870417,1.188351,24.0,89.1,3.7125,1.139865,24.0,91.76,3.823333,1.173895,24.0,91.05,3.79375,1.164812
G and C farms south meter,2023-08-22,offline_or_near_zero,807.53,FRONIUS-e5d4623c-5a06-4b45-b2f0--G004,Symo 24.0-3 480 (1) (ECDEE1),24.0,134.41,5.600417,1.165121,24.0,0.0,0.0,0.0,24.0,134.91,5.62125,1.169455,24.0,135.16,5.631667,1.171622,24.0,132.95,5.539583,1.152465,24.0,135.4,5.641667,1.173703,24.0,134.7,5.6125,1.167635
G and C farms south meter,2023-08-23,offline_or_near_zero,1218.61,FRONIUS-e5d4623c-5a06-4b45-b2f0--G004,Symo 24.0-3 480 (1) (ECDEE1),24.0,201.87,8.41125,1.159592,24.0,0.0,0.0,0.0,24.0,205.19,8.549583,1.178663,24.0,203.77,8.490417,1.170506,24.0,201.0,8.375,1.154594,24.0,202.41,8.43375,1.162694,24.0,204.37,8.515417,1.173952
G and C farms south meter,2023-08-24,offline_or_near_zero,1192.26,FRONIUS-e5d4623c-5a06-4b45-b2f0--G004,Symo 24.0-3 480 (1) (ECDEE1),24.0,197.5,8.229167,1.159563,24.0,0.0,0.0,0.0,24.0,200.88,8.37,1.179407,24.0,199.08,8.295,1.168839,24.0,196.69,8.195417,1.154807,24.0,197.91,8.24625,1.16197,24.0,200.2,8.341667,1.175415
G and C farms south meter,2023-08-25,offline_or_near_zero,1241.12,FRONIUS-e5d4623c-5a06-4b45-b2f0--G004,Symo 24.0-3 480 (1) (ECDEE1),24.0,205.55,8.564583,1.159316,24.0,0.0,0.0,0.0,24.0,209.12,8.713333,1.179451,24.0,207.32,8.638333,1.169299,24.0,204.83,8.534583,1.155255,24.0,205.96,8.581667,1.161628,24.0,208.34,8.680833,1.175052
G and C farms south meter,2023-08-26,offline_or_near_zero,1242.57,FRONIUS-e5d4623c-5a06-4b45-b2f0--G004,Symo 24.0-3 480 (1) (ECDEE1),24.0,205.93,8.580417,1.160104,24.0,0.0,0.0,0.0,24.0,209.25,8.71875,1.178807,24.0,207.27,8.63625,1.167653,24.0,205.16,8.548333,1.155766,24.0,206.34,8.5975,1.162413,24.0,208.62,8.6925,1.175258
G and C farms south meter,2023-08-27,offline_or_near_zero,1205.91,FRONIUS-e5d4623c-5a06-4b45-b2f0--G004,Symo 24.0-3 480 (1) (ECDEE1),24.0,199.74,8.3225,1.15944,24.0,0.0,0.0,0.0,24.0,203.11,8.462917,1.179002,24.0,201.49,8.395417,1.169598,24.0,198.96,8.29,1.154912,24.0,200.32,8.346667,1.162807,24.0,202.29,8.42875,1.174242
G and C farms south meter,2023-08-28,offline_or_near_zero,1221.58,FRONIUS-e5d4623c-5a06-4b45-b2f0--G004,Symo 24.0-3 480 (1) (ECDEE1),24.0,202.33,8.430417,1.159408,24.0,0.0,0.0,0.0,24.0,205.76,8.573333,1.179063,24.0,204.01,8.500417,1.169035,24.0,201.65,8.402083,1.155512,24.0,202.83,8.45125,1.162273,24.0,205.0,8.541667,1.174708
G and C farms south meter,2023-08-29,offline_or_near_zero,1223.91,FRONIUS-e5d4623c-5a06-4b45-b2f0--G004,Symo 24.0-3 480 (1) (ECDEE1),24.0,202.72,8.446667,1.159432,24.0,0.0,0.0,0.0,24.0,206.18,8.590833,1.179221,24.0,204.31,8.512917,1.168525,24.0,201.94,8.414167,1.154971,24.0,203.23,8.467917,1.162349,24.0,205.53,8.56375,1.175503
G and C farms south meter,2023-08-30,offline_or_near_zero,1128.13,FRONIUS-e5d4623c-5a06-4b45-b2f0--G004,Symo 24.0-3 480 (1) (ECDEE1),24.0,186.9,7.7875,1.159707,24.0,0.0,0.0,0.0,24.0,189.91,7.912917,1.178384,24.0,188.79,7.86625,1.171434,24.0,186.03,7.75125,1.154308,24.0,187.43,7.809583,1.162995,24.0,189.07,7.877917,1.173172
G and C farms south meter,2023-08-31,offline_or_near_zero,719.35,FRONIUS-e5d4623c-5a06-4b45-b2f0--G004,Symo 24.0-3 480 (1) (ECDEE1),24.0,119.28,4.97,1.160715,24.0,0.0,0.0,0.0,24.0,120.81,5.03375,1.175603,24.0,120.76,5.031667,1.175116,24.0,118.52,4.938333,1.153319,24.0,119.78,4.990833,1.16558,24.0,120.2,5.008333,1.169667
G and C farms south meter,2023-09-01,offline_or_near_zero,1153.99,FRONIUS-e5d4623c-5a06-4b45-b2f0--G004,Symo 24.0-3 480 (1) (ECDEE1),24.0,191.14,7.964167,1.159438,24.0,0.0,0.0,0.0,24.0,194.05,8.085417,1.17709,24.0,193.52,8.063333,1.173875,24.0,190.38,7.9325,1.154828,24.0,191.82,7.9925,1.163563,24.0,193.08,8.045,1.171206
G and C farms south meter,2023-09-02,offline_or_near_zero,1212.59,FRONIUS-e5d4623c-5a06-4b45-b2f0--G004,Symo 24.0-3 480 (1) (ECDEE1),24.0,200.92,8.371667,1.159864,24.0,0.0,0.0,0.0,24.0,204.11,8.504583,1.17828,24.0,202.11,8.42125,1.166734,24.0,200.46,8.3525,1.157209,24.0,201.36,8.39,1.162404,24.0,203.63,8.484583,1.175509
G and C farms south meter,2023-09-03,offline_or_near_zero,797.78,FRONIUS-e5d4623c-5a06-4b45-b2f0--G004,Symo 24.0-3 480 (1) (ECDEE1),24.0,132.45,5.51875,1.162163,24.0,0.0,0.0,0.0,24.0,133.54,5.564167,1.171727,24.0,135.15,5.63125,1.185853,24.0,130.93,5.455417,1.148825,24.0,133.3,5.554167,1.169621,24.0,132.41,5.517083,1.161812
G and C farms south meter,2023-09-04,offline_or_near_zero,662.41,FRONIUS-e5d4623c-5a06-4b45-b2f0--G004,Symo 24.0-3 480 (1) (ECDEE1),24.0,109.9,4.579167,1.161365,24.0,0.0,0.0,0.0,24.0,110.88,4.62,1.171721,24.0,112.41,4.68375,1.18789,24.0,108.64,4.526667,1.14805,24.0,110.68,4.611667,1.169608,24.0,109.9,4.579167,1.161365
G and C farms south meter,2023-09-05,offline_or_near_zero,876.17,FRONIUS-e5d4623c-5a06-4b45-b2f0--G004,Symo 24.0-3 480 (1) (ECDEE1),24.0,145.1,6.045833,1.15925,24.0,0.0,0.0,0.0,24.0,147.47,6.144583,1.178185,24.0,147.03,6.12625,1.174669,24.0,144.2,6.008333,1.15206,24.0,145.63,6.067917,1.163484,24.0,146.74,6.114167,1.172352
G and C farms south meter,2023-09-06,offline_or_near_zero,1002.16,FRONIUS-e5d4623c-5a06-4b45-b2f0--G004,Symo 24.0-3 480 (1) (ECDEE1),24.0,165.85,6.910417,1.158448,24.0,0.0,0.0,0.0,24.0,168.7,7.029167,1.178355,24.0,168.42,7.0175,1.176399,24.0,164.95,6.872917,1.152161,24.0,166.46,6.935833,1.162709,24.0,167.78,6.990833,1.171929
G and C farms south meter,2023-09-07,offline_or_near_zero,1158.67,FRONIUS-e5d4623c-5a06-4b45-b2f0--G004,Symo 24.0-3 480 (1) (ECDEE1),24.0,191.83,7.992917,1.158924,24.0,0.0,0.0,0.0,24.0,195.03,8.12625,1.178256,24.0,193.74,8.0725,1.170463,24.0,191.32,7.971667,1.155842,24.0,192.39,8.01625,1.162307,24.0,194.36,8.098333,1.174208
G and C farms south meter,2023-09-08,offline_or_near_zero,490.48,FRONIUS-e5d4623c-5a06-4b45-b2f0--G004,Symo 24.0-3 480 (1) (ECDEE1),24.0,81.43,3.392917,1.162147,24.0,0.0,0.0,0.0,24.0,82.04,3.418333,1.170853,24.0,83.25,3.46875,1.188122,24.0,80.23,3.342917,1.145021,24.0,82.0,3.416667,1.170282,24.0,81.53,3.397083,1.163574
G and C farms south meter,2023-09-09,offline_or_near_zero,994.05,FRONIUS-e5d4623c-5a06-4b45-b2f0--G004,Symo 24.0-3 480 (1) (ECDEE1),24.0,163.23,6.80125,1.149449,24.0,0.0,0.0,0.0,24.0,168.76,7.031667,1.188391,24.0,167.75,6.989583,1.181279,24.0,162.73,6.780417,1.145928,24.0,163.72,6.821667,1.1529,24.0,167.86,6.994167,1.182053
G and C farms south meter,2023-09-10,offline_or_near_zero,1211.62,FRONIUS-e5d4623c-5a06-4b45-b2f0--G004,Symo 24.0-3 480 (1) (ECDEE1),24.0,200.57,8.357083,1.158771,24.0,0.0,0.0,0.0,24.0,204.13,8.505417,1.179338,24.0,202.02,8.4175,1.167148,24.0,200.28,8.345,1.157095,24.0,201.03,8.37625,1.161429,24.0,203.59,8.482917,1.176219
G and C farms south meter,2023-09-11,offline_or_near_zero,1143.91,FRONIUS-e5d4623c-5a06-4b45-b2f0--G004,Symo 24.0-3 480 (1) (ECDEE1),24.0,189.3,7.8875,1.158395,24.0,0.0,0.0,0.0,24.0,192.78,8.0325,1.179691,24.0,191.07,7.96125,1.169227,24.0,188.93,7.872083,1.156131,24.0,189.69,7.90375,1.160782,24.0,192.14,8.005833,1.175774
G and C farms south meter,2023-09-12,offline_or_near_zero,1066.2,FRONIUS-e5d4623c-5a06-4b45-b2f0--G004,Symo 24.0-3 480 (1) (ECDEE1),24.0,176.56,7.356667,1.159182,24.0,0.0,0.0,0.0,24.0,179.28,7.47,1.17704,24.0,178.71,7.44625,1.173298,24.0,176.15,7.339583,1.15649,24.0,177.1,7.379167,1.162727,24.0,178.4,7.433333,1.171262
G and C farms south meter,2023-09-13,offline_or_near_zero,988.89,FRONIUS-e5d4623c-5a06-4b45-b2f0--G004,Symo 24.0-3 480 (1) (ECDEE1),24.0,163.56,6.815,1.157783,24.0,0.0,0.0,0.0,24.0,166.28,6.928333,1.177037,24.0,166.15,6.922917,1.176117,24.0,163.18,6.799167,1.155093,24.0,164.37,6.84875,1.163517,24.0,165.35,6.889583,1.170454
G and C farms south meter,2023-09-14,offline_or_near_zero,1147.67,FRONIUS-e5d4623c-5a06-4b45-b2f0--G004,Symo 24.0-3 480 (1) (ECDEE1),24.0,189.99,7.91625,1.158809,24.0,0.0,0.0,0.0,24.0,193.32,8.055,1.179119,24.0,191.24,7.968333,1.166433,24.0,189.98,7.915833,1.158748,24.0,190.24,7.926667,1.160334,24.0,192.9,8.0375,1.176558
G and C farms south meter,2023-09-15,offline_or_near_zero,1196.94,FRONIUS-e5d4623c-5a06-4b45-b2f0--G004,Symo 24.0-3 480 (1) (ECDEE1),24.0,198.08,8.253333,1.158421,24.0,0.0,0.0,0.0,24.0,201.69,8.40375,1.179533,24.0,199.67,8.319583,1.167719,24.0,197.92,8.246667,1.157485,24.0,198.47,8.269583,1.160701,24.0,201.11,8.379583,1.176141
G and C farms south meter,2023-09-16,offline_or_near_zero,1201.34,FRONIUS-e5d4623c-5a06-4b45-b2f0--G004,Symo 24.0-3 480 (1) (ECDEE1),24.0,198.84,8.285,1.158606,24.0,0.0,0.0,0.0,24.0,202.35,8.43125,1.179058,24.0,200.34,8.3475,1.167346,24.0,198.73,8.280417,1.157965,24.0,199.23,8.30125,1.160879,24.0,201.85,8.410417,1.176145
G and C farms south meter,2023-09-17,offline_or_near_zero,825.06,FRONIUS-e5d4623c-5a06-4b45-b2f0--G004,Symo 24.0-3 480 (1) (ECDEE1),24.0,136.46,5.685833,1.157758,24.0,0.0,0.0,0.0,24.0,138.63,5.77625,1.176169,24.0,139.89,5.82875,1.186859,24.0,135.64,5.651667,1.150801,24.0,137.22,5.7175,1.164206,24.0,137.22,5.7175,1.164206
G and C farms south meter,2023-09-18,offline_or_near_zero,1106.23,FRONIUS-e5d4623c-5a06-4b45-b2f0--G004,Symo 24.0-3 480 (1) (ECDEE1),24.0,182.96,7.623333,1.157734,24.0,0.0,0.0,0.0,24.0,186.42,7.7675,1.179628,24.0,184.91,7.704583,1.170073,24.0,182.88,7.62,1.157228,24.0,183.37,7.640417,1.160328,24.0,185.69,7.737083,1.175009
G and C farms south meter,2023-09-19,Normal,894.65,,,24.0,136.75,5.697917,1.069971,24.0,70.77,2.94875,0.553725,24.0,138.81,5.78375,1.08609,24.0,137.5,5.729167,1.07584,24.0,135.82,5.659167,1.062695,24.0,136.59,5.69125,1.06872,24.0,138.41,5.767083,1.08296
